"q_game_clock","game_id","join_clock","ball_id","ball_team_id","ball_x_loc","ball_y_loc","p1_id","p1_team_id","p1_x_loc","p1_y_loc","p2_id","p2_team_id","p2_x_loc","p2_y_loc","p3_id","p3_team_id","p3_x_loc","p3_y_loc","p4_id","p4_team_id","p4_x_loc","p4_y_loc","p5_id","p5_team_id","p5_x_loc","p5_y_loc","p6_id","p6_team_id","p6_x_loc","p6_y_loc","p7_id","p7_team_id","p7_x_loc","p7_y_loc","p8_id","p8_team_id","p8_x_loc","p8_y_loc","p9_id","p9_team_id","p9_x_loc","p9_y_loc","p10_id","p10_team_id","p10_x_loc","p10_y_loc","event_id","shot_distance","action_type","eventtime","event_type","game_date","grid_type","htm","loc_x","loc_y","minutes_remaining","period","shooter_id","player_name","quarter","seconds_remaining","shot_attempted_flag","shot_made_flag","shot_time","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","shot_team_id","team_name","vtm","q_event_clock","name"
1341.85,"0021500118",215001181341,-1,-1,75.03536,22.55264,2734,1610612742,76.4008,34.363,101114,1610612742,77.55258,23.1452,101109,1610612742,84.37256,38.83436,2585,1610612742,83.74085,30.34758,203939,1610612742,82.10242,17.56003,200755,1610612746,81.38992,48.40783,101108,1610612746,67.26089,42.24133,201599,1610612746,85.19669,33.67575,201933,1610612746,80.57334,14.9471,202362,1610612746,74.74079,22.16492,54,12,"Floating Jump shot",339,"Missed Shot",20151111,"Shot Chart Detail","DAL",-220.1879,90.7405,5,1,202362,"Lance Stephenson",1,39,1,0,323.33,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612746,"LA Clippers","LAC",1339,"join_clock_2"
1356.05,"0021500118",215001181356,-1,-1,21.38919,33.06837,2734,1610612742,23.64,6.9569,101114,1610612742,12.13542,48.01835,101109,1610612742,21.46552,32.71066,2585,1610612742,22.4903,23.37107,203939,1610612742,1.52353,17.34944,200755,1610612746,18.39442,26.96573,101108,1610612746,10.85011,39.99368,201599,1610612746,12.34964,25.3267,201933,1610612746,5.15906,19.71395,202362,1610612746,16.71931,12.34083,53,18,"Jump Shot",353,"Made Shot",20151111,"Shot Chart Detail","DAL",-80.6837,166.3919,5,1,101109,"Raymond Felton",1,53,1,1,356.05,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612742,"Dallas Mavericks","LAC",1353,"join_clock_3"
1372.34,"0021500118",215001181372,-1,-1,71.94617,17.12371,1717,1610612742,88.10486,25.20906,101114,1610612742,85.54649,37.93259,101109,1610612742,85.91927,7.7112,2585,1610612742,81.77512,21.06162,202083,1610612742,86.04278,26.77472,200755,1610612746,84.26316,1.85781,101108,1610612746,86.04278,26.77472,201599,1610612746,88.83326,25.14648,201933,1610612746,70.77973,16.75136,202362,1610612746,86.01836,46.86351,48,18,"Jump Shot",370,"Missed Shot",20151111,"Shot Chart Detail","DAL",-38.7746,211.8975,6,1,201933,"Blake Griffin",1,10,1,0,389.18,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612746,"LA Clippers","LAC",1370,"join_clock_2"
1389.18,"0021500118",215001181389,-1,-1,25.93975,28.87746,1717,1610612742,24.44857,14.60899,101114,1610612742,5.28795,47.50965,101109,1610612742,26.96552,28.58205,2585,1610612742,9.40582,19.00157,202083,1610612742,27.17038,43.24417,200755,1610612746,21.09562,28.26102,101108,1610612746,6.48149,39.47857,201599,1610612746,12.07027,25.14831,201933,1610612746,19.66073,15.94952,202362,1610612746,21.67343,38.0385,47,21,"Jump Shot",386,"Made Shot",20151111,"Shot Chart Detail","DAL",-38.7746,211.8975,6,1,101109,"Raymond Felton",1,26,1,1,389.18,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612742,"Dallas Mavericks","LAC",1386,"join_clock_3"
1408.56,"0021500118",215001181408,-1,-1,80.2003,3.94478,1717,1610612742,82.026,16.10845,101114,1610612742,85.56117,30.07025,101109,1610612742,78.25334,10.73827,2585,1610612742,84.36057,32.27432,202083,1610612742,70.80364,20.80536,200755,1610612746,79.77422,2.98928,101108,1610612746,60.54478,25.61207,201599,1610612746,79.49091,14.59789,201933,1610612746,83.13017,35.79175,202362,1610612746,88.36451,35.5665,42,24,"Jump Shot",405,"Made Shot",20151111,"Shot Chart Detail","DAL",-214.7643,91.5692,6,1,200755,"JJ Redick",1,45,1,1,408.28,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612746,"LA Clippers","LAC",1405,"join_clock_3"
1422.73,"0021500118",215001181422,-1,-1,20.11117,19.72638,1717,1610612742,32.14076,28.46437,101114,1610612742,20.30399,1.81338,101109,1610612742,12.49964,47.90582,2585,1610612742,20.79488,20.19845,202083,1610612742,10.33974,14.86804,200755,1610612746,9.03297,37.01028,101108,1610612746,11.36062,15.9207,201599,1610612746,9.42685,22.93137,201933,1610612746,23.776,25.96925,202362,1610612746,17.67934,7.7256,39,16,"Jump Shot",420,"Missed Shot",20151111,"Shot Chart Detail","DAL",47.4142,149.2082,7,1,2585,"Zaza Pachulia",1,0,1,0,422.65,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612742,"Dallas Mavericks","LAC",1420,"join_clock_2"
1434.45,"0021500118",215001181434,-1,-1,87.03645,31.7454,1717,1610612742,86.9231,29.07588,101114,1610612742,82.30186,31.50596,101109,1610612742,70.54179,29.97695,2585,1610612742,85.72466,19.28629,202083,1610612742,82.64777,15.43314,200755,1610612746,61.83149,29.23076,101108,1610612746,82.10868,2.16751,201599,1610612746,86.66372,31.61498,201933,1610612746,84.59045,14.22922,202362,1610612746,72.25226,21.24433,37,6,"Turnaround Bank shot",432,"Missed Shot",20151111,"Shot Chart Detail","DAL",-221.0654,57.7828,7,1,201599,"DeAndre Jordan",1,12,1,0,450.61,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612746,"LA Clippers","LAC",1432,"join_clock_2"
1450.85,"0021500118",215001181450,-1,-1,10.17238,47.30475,1717,1610612742,7.32294,14.93739,101114,1610612742,10.54653,48.50371,101109,1610612742,32.28264,29.60751,2585,1610612742,10.27347,33.1506,202083,1610612742,23.83529,6.60151,200755,1610612746,23.82169,30.25776,101108,1610612746,16.03719,11.19266,201599,1610612746,8.60654,30.05593,201933,1610612746,5.52149,18.17951,202362,1610612746,9.11151,34.69064,35,23,"Jump Shot",447,"Missed Shot",20151111,"Shot Chart Detail","DAL",-221.0654,57.7828,7,1,101114,"Deron Williams",1,27,1,0,450.61,"3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.",1610612742,"Dallas Mavericks","LAC",1447,"join_clock_3"
1475.52,"0021500118",215001181475,-1,-1,65.09578,27.80017,1717,1610612742,87.90695,30.49503,101114,1610612742,84.06797,15.6134,101109,1610612742,64.70581,32.40403,2585,1610612742,71.94418,26.40533,202083,1610612742,70.48116,18.12526,200755,1610612746,64.53839,27.86607,101108,1610612746,63.99688,8.32941,201599,1610612746,89.87176,36.18091,201933,1610612746,66.77621,33.40788,202362,1610612746,86.28989,3.00354,34,23,"Pullup Jump shot",473,"Made Shot",20151111,"Shot Chart Detail","DAL",26.3205,236.2554,7,1,200755,"JJ Redick",1,53,1,1,475.6,"3PT Field Goal","Center(C)","Above the Break 3","24+ ft.",1610612746,"LA Clippers","LAC",1473,"join_clock_2"
1489.32,"0021500118",215001181489,-1,-1,18.31544,23.90749,1717,1610612742,19.74559,37.32945,101114,1610612742,19.20148,23.90592,101109,1610612742,17.46254,42.48874,2585,1610612742,17.49878,16.49695,202083,1610612742,20.27105,4.50696,200755,1610612746,18.49093,38.72727,101108,1610612746,20.91855,20.06143,201599,1610612746,12.7382,21.06836,201933,1610612746,12.73998,31.01298,202362,1610612746,14.42418,12.4516,33,12,"Running Jump Shot",486,"Made Shot",20151111,"Shot Chart Detail","DAL",26.3205,236.2554,8,1,101114,"Deron Williams",1,6,1,1,475.6,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612742,"Dallas Mavericks","LAC",1486,"join_clock_3"
